word,examples,word_audio,word_search
"sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt","['Diese Arbeit strengt mich sehr an.', 'Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.']",sich anstrengen,anstrengen
anstrengend,['Ich finde diese Arbeit sehr anstrengend.'],anstrengend,anstrengend
"der Antrag, ¨-e",['Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?'],der Antrag,Antrag
"anwenden, wendet an, wandte an, hat angewandt/angewendet",['Diese Salbe muss man dreimal am Tag anwenden.'],anwenden,anwenden
anwesend,['Bei dem Treffen waren alle Mitglieder anwesend.'],anwesend,anwesend
"antworten, antwortet, antwortete, hat geantwortet",['Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.'],antworten,antworten
"die Antwort, -en",['Leider habe ich keine Antwort bekommen.'],die Antwort,Antwort
"der Anwalt, ¨-e die Anwältin, -nen",['Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.'],"der Anwalt, die Anwältin",Anwalt
"anzeigen, zeigt an, zeigte an, hat angezeigt","['Wenn Sie hier parken, zeige ich Sie an.']",anzeigen,anzeigen
"die Anzeige, -n","['Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer.', 'Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.']",die Anzeige,Anzeige
"(sich) anziehen, zieht an, zog an, hat angezogen","['Du musst dich wärmer anziehen, sonst erkältest du dich.', 'Heute ziehe ich mein neues T-Shirt an.']",sich anziehen,anziehen
"der Anzug, ¨-e",['Mein Mann hat sich einen neuen Anzug gekauft.'],der Anzug,Anzug
"das Apartment, -s",['Wir haben ein Ferienapartment gemietet.'],das Apartment,Apartment
"der Apfel, ¨-",['Zum Frühstück esse ich jeden Tag einen Apfel.'],der Apfel,Apfel
"die Apotheke, -n",['Ist hier in der Nähe eine Apotheke?'],die Apotheke,Apotheke
"der Apparat, -e","['Können Sie den Apparat bitte etwas leiser stellen?', 'Wo ist mein Fotoapparat?']",der Apparat,Apparat
der Appetit,"['Ich habe heute keinen Appetit. Ich mag nichts essen.', 'Auf was hast du Appetit? Vielleicht auf einen Salat?', 'Guten Appetit!']",der Appetit,Appetit
"die Aprikose, -n (D, CH) → A: Marille",['Schmecken dir die Aprikosen?'],die Aprikose,Aprikose
"arbeiten, arbeitet, arbeitete, hat gearbeitet","['Er arbeitet heute bis 16 Uhr.', 'Arzu arbeitet als Krankenschwester im Krankenhaus.']",arbeiten,arbeiten
"die Arbeit, -en","['Wie gefällt dir deine Arbeit?', 'Nach der Ausbildung hat Mohamed eine Arbeit gefunden.']",die Arbeit,Arbeit
"der Arbeiter, die Arbeiterin, -nen",['Maria ist seit zwei Jahren Arbeiterin bei Siemens.'],"der Arbeiter, die Arbeiterin",Arbeiter
"die Arbeitserlaubnis, -se",['Haben Sie eine Arbeitserlaubnis?'],die Arbeitserlaubnis,Arbeitserlaubnis
arbeitslos,['Wie lange sind Sie schon arbeitslos?'],arbeitslos,arbeitslos
die Arbeitslosigkeit,['Die Arbeitslosigkeit ist gesunken.'],die Arbeitslosigkeit,Arbeitslosigkeit
"der Arbeitsplatz, ¨-e",['In der Industrie gibt es immer weniger Arbeitsplätze.'],der Arbeitsplatz,Arbeitsplatz
"die Arbeitsstelle, -n",['Meine Frau hat eine neue Arbeitsstelle gefunden.'],die Arbeitsstelle,Arbeitsstelle
"der Architekt, -en die Architektin, -nen",['Dieses Haus hat eine berühmte Architektin gebaut.'],"der Architekt, die Architektin",Architekt
"(sich) ärgern, ärgert, ärgerte, hat geärgert","['Ärgern Sie sich nicht.', 'Mein Bruder hat mich schon als Kind immer geärgert.']",sich ärgern,ärgern
der Ärger,['Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.'],der Ärger,Ärger
ärgerlich,['Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.'],ärgerlich,ärgerlich
arm,"['Die Regierung hilft armen Nachbarländern.', 'Ich hätte gerne 200 g fettarmen Käse.']",arm,arm
"der Arm, -e",['Mein Freund hat sich den Arm gebrochen.'],der Arm,Arm
"die Art, -en","['Im Zoo haben sie 34 verschiedene Arten von Vögeln.', 'Seine Art gefällt mir nicht.', 'Man kann auf unterschiedliche Art und Weise ein Fest feiern.']",die Art,Art
"der Artikel, -","['Ich habe einen interessanten Artikel gelesen.', 'Im Deutschen gibt es drei Artikel: der, die, das.']",der Artikel,Artikel
"der Arzt, ¨-e die Ärztin, -nen","['Ich muss heute zum Arzt.', 'Wann warst du beim Zahnarzt?']","der Arzt, die Ärztin",Arzt
"das Asyl, -e",['Die Menschen sind auf der Flucht und bitten um Asyl.'],das Asyl,Asyl
"atmen, atmet, atmete, hat geatmet",['Er hat eine Erkältung und kann nicht durch die Nase atmen.'],atmen,atmen
der Atem,['Bitte den Atem anhalten.'],der Atem,Atem
auch,"['Ich muss leider gehen. – Ich auch.', 'Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten.', 'Wir fahren auf jeden Fall, auch wenn es regnet.', 'Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!']",auch,auch
auf,"['Deine Brille liegt auf dem Schreibtisch.', 'Die Kinder spielen unten auf der Straße.', 'Meine Eltern leben auf dem Land.', 'Gestern waren wir auf einer Party.', 'Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet.', 'Wie heißt das auf Deutsch?', 'Meine Tochter kommt nächstes Jahr aufs Gymnasium. (D) (A, CH: ins)', 'Im Mai war ich auf Urlaub. (A) (D: in)', 'Ich bin schon seit zwei Stunden auf.', 'Komm herein, die Tür ist auf. (D)']",auf,auf
"der Aufenthalt, -e","['Der Zug hat in München nur 20 Minuten Aufenthalt.', 'Wir wünschen Ihnen einen angenehmen Aufenthalt.']",der Aufenthalt,Aufenthalt
